settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0442,False,0.0,,,,dark
S0443,False,0.0,,,,dark
S0444,False,0.0,,,,dark
S0445,False,0.0,,,,dark
S0446,False,0.0,,,,dark
S0447,False,0.0,,,,dark
S0448,False,0.0,,,,dark
S0449,True,7.094,3.832,-0.2032,0.0573,flat
S0450,True,3.22,3.22,0.1524,0.0,brightening
S0451,False,0.0,,,,dark
S0452,False,0.0,,,,dark
S0453,True,9.683,3.483,-0.4998,0.0573,flat
S0454,False,0.0,,,,dark
S0455,False,0.0,,,,dark
S0456,True,1.674,0.53,0.0209,0.0027,brightening
S0457,False,0.0,,,,dark
S0458,False,0.0,,,,dark
S0459,False,0.0,,,,dark
S0460,False,0.0,,,,dark
S0461,False,0.0,,,,dark
S0462,False,0.0,,,,dark
S0463,False,0.0,,,,dark
S0464,True,0.951,0.951,0.091,0.0004,brightening
S0465,False,0.346,,,,dark
S0466,True,2.119,1.133,0.1453,0.0008,brightening
S0467,False,0.0,,,,dark
S0468,False,0.0,,,,dark
S0469,False,0.0,,,,dark
S0470,True,10.554,10.554,0.2052,0.1289,flat
S0471,True,15.088,10.862,0.14,0.9524,flat
S0472,True,1.406,1.263,0.0723,0.0067,brightening
S0473,False,0.0,,,,dark
S0474,False,0.0,,,,dark
S0475,False,0.0,,,,dark
S0476,False,0.0,,,,dark
S0477,False,0.0,,,,dark
S0478,False,0.0,,,,dark
S0479,False,0.0,,,,dark
S0480,False,0.0,,,,dark
S0481,False,0.0,,,,dark
S0482,False,0.0,,,,dark
S0483,False,0.0,,,,dark
S0484,False,0.0,,,,dark
S0485,False,0.0,,,,dark
S0486,False,0.0,,,,dark
S0487,False,0.0,,,,dark
S0488,False,0.0,,,,dark
S0489,False,0.0,,,,dark
S0490,False,0.0,,,,dark
S0491,False,0.0,,,,dark
S0492,False,0.0,,,,dark
S0493,False,0.0,,,,dark
S0494,False,0.0,,,,dark
S0495,False,0.0,,,,dark
S0496,False,0.0,,,,dark
S0497,False,0.0,,,,dark
S0498,False,0.0,,,,dark
S0499,False,0.0,,,,dark
S0500,True,0.776,0.776,0.0,0.2108,flat
S0501,True,1.006,0.711,0.0347,0.3062,flat
S0502,True,1.163,0.0,0.0,0.0239,flat
S0503,True,2.341,1.306,0.0718,0.4354,flat
S0504,True,1.794,1.563,0.0859,0.0003,brightening
S0505,False,0.0,,,,dark
S0506,True,0.799,0.597,0.0578,0.0135,brightening
S0507,True,0.799,0.0,0.0,0.3588,flat
S0508,True,2.38,1.744,0.1121,0.0009,brightening
S0509,True,0.776,0.776,0.0,0.4518,flat
S0510,False,0.0,,,,dark
S0511,True,1.686,1.274,0.0947,0.0017,brightening
S0512,False,0.0,,,,dark
S0513,True,1.406,0.0,0.0,0.3767,flat
S0514,False,0.451,,,,dark
S0515,False,0.0,,,,dark
S0516,True,1.794,1.563,0.0965,0.0001,brightening
S0517,False,0.0,,,,dark
S0518,True,0.697,0.0,0.0,0.0239,flat
S0519,False,0.0,,,,dark
S0520,True,1.342,0.685,0.0191,0.2455,flat
S0521,False,0.0,,,,dark
S0522,False,0.0,,,,dark
S0523,False,0.0,,,,dark
S0524,False,0.0,,,,dark
S0525,True,0.661,0.0,0.0,0.1088,flat
S0526,False,0.0,,,,dark
S0527,False,0.0,,,,dark
S0528,False,0.0,,,,dark
S0529,False,0.0,,,,dark
S0530,False,0.0,,,,dark
S0531,False,0.0,,,,dark
S0532,False,0.0,,,,dark
S0533,True,0.733,0.0,0.0,0.285,flat
S0534,False,0.0,,,,dark
S0535,False,0.0,,,,dark
S0536,False,0.0,,,,dark
S0537,False,0.0,,,,dark
S0538,False,0.0,,,,dark
S0539,False,0.0,,,,dark
S0540,False,0.0,,,,dark
S0541,False,0.0,,,,dark
S0542,False,0.0,,,,dark
S0543,False,0.0,,,,dark
S0544,False,0.0,,,,dark
S0545,False,0.0,,,,dark
S0546,False,0.0,,,,dark
S0547,False,0.0,,,,dark
S0548,False,0.0,,,,dark
S0549,False,0.0,,,,dark
S0550,False,0.0,,,,dark
S0551,False,0.0,,,,dark
S0552,False,0.0,,,,dark
S0553,False,0.0,,,,dark
S0554,False,0.0,,,,dark
S0555,False,0.0,,,,dark
S0556,True,0.672,0.0,0.0,0.285,flat
S0557,False,0.0,,,,dark
S0558,False,0.0,,,,dark
S0559,False,0.0,,,,dark
S0560,False,0.0,,,,dark
S0561,False,0.0,,,,dark
S0562,False,0.0,,,,dark
S0563,False,0.0,,,,dark
S0564,False,0.0,,,,dark
S0565,False,0.0,,,,dark
S0566,False,0.0,,,,dark
S0567,False,0.0,,,,dark
S0568,False,0.0,,,,dark
S0569,False,0.0,,,,dark
S0570,False,0.0,,,,dark
S0571,False,0.0,,,,dark
S0572,False,0.0,,,,dark
S0573,False,0.0,,,,dark
S0574,False,0.0,,,,dark
S0575,False,0.0,,,,dark
S0576,False,0.0,,,,dark
S0577,False,0.0,,,,dark
S0578,False,0.0,,,,dark
S0579,False,0.0,,,,dark
S0580,False,0.0,,,,dark
S0581,False,0.0,,,,dark
S0582,False,0.0,,,,dark
S0583,False,0.0,,,,dark
S0584,False,0.0,,,,dark
S0585,False,0.0,,,,dark
S0586,False,0.0,,,,dark
S0587,False,0.0,,,,dark
S0588,False,0.0,,,,dark
S0589,False,0.0,,,,dark
S0590,False,0.0,,,,dark
S0591,False,0.0,,,,dark
S0592,False,0.0,,,,dark
S0593,True,0.895,0.0,0.0,0.1324,flat
S0594,False,0.0,,,,dark
S0595,False,0.0,,,,dark
S0596,False,0.0,,,,dark
S0597,False,0.0,,,,dark
S0598,False,0.0,,,,dark
S0599,False,0.0,,,,dark
S0600,False,0.0,,,,dark
S0601,False,0.0,,,,dark
S0602,False,0.0,,,,dark
S0603,False,0.0,,,,dark
S0604,False,0.0,,,,dark
S0605,False,0.0,,,,dark
S0606,False,0.0,,,,dark
S0607,False,0.0,,,,dark
S0608,False,0.0,,,,dark
S0609,False,0.0,,,,dark
S0610,False,0.0,,,,dark
S0611,True,1.076,1.014,0.0,0.0161,flat
S0612,True,0.874,0.614,0.0535,0.0116,brightening
S0613,True,0.623,0.0,0.0,0.037,flat
S0614,False,0.0,,,,dark
S0615,True,0.882,0.531,0.049,0.0171,brightening
S0616,False,0.399,,,,dark
S0617,True,1.03,0.838,0.0,0.055,flat
S0618,False,0.0,,,,dark
S0619,False,0.0,,,,dark
S0620,False,0.0,,,,dark
S0621,False,0.0,,,,dark
S0622,False,0.0,,,,dark
S0623,True,0.631,0.0,0.0,0.6234,flat
S0624,True,0.832,0.0,-0.0455,0.0233,dimming
S0625,False,0.0,,,,dark
S0626,False,0.0,,,,dark
S0627,True,0.613,0.0,0.0,0.7683,flat
S0628,False,0.0,,,,dark
S0629,True,0.814,0.781,-0.0259,0.2077,flat
S0630,False,0.0,,,,dark
S0631,True,0.631,0.0,0.0,0.1088,flat
S0632,True,0.605,0.0,0.0,0.7683,flat
S0633,False,0.0,,,,dark
S0634,True,0.631,0.0,0.0,0.6234,flat
S0635,False,0.0,,,,dark
S0636,False,0.0,,,,dark
S0637,False,0.0,,,,dark
S0638,False,0.0,,,,dark
S0639,False,0.0,,,,dark
S0640,False,0.0,,,,dark
S0641,False,0.0,,,,dark
S0642,False,0.0,,,,dark
S0643,False,0.0,,,,dark
S0644,False,0.0,,,,dark
S0645,False,0.0,,,,dark
S0646,False,0.0,,,,dark
S0647,False,0.0,,,,dark
S0648,True,1.042,0.0,-0.0018,0.6672,flat
