settlement_id,name,district,lat,lon,pop_2km,backhaul_km,elev_drop_m,only_self_3km,only_self_5km,only_self_10km,ever_lit
S1334,Kampung Pangi Laut,Kunak,4.6596024,118.2888423,2267,5.31,-7.0,0,0,0,True
S1335,Kampung Pangi Sungai Duyung,Kunak,4.6530187,118.2946921,1929,6.25,3.0,0,0,0,True
S1336,Kampung Pangi Hujung,Kunak,4.6562419,118.2945101,1953,6.04,-7.0,0,0,0,True
S1337,Kampung Hampilan,Kunak,4.6596061,118.2787498,2401,4.38,-5.0,1,1,1,True
S1338,Kampung Kasnuri,Kunak,4.6567709,118.2701645,1903,3.92,-3.0,0,0,0,True
S1345,Kampung Madai,Kunak,4.7240551,118.1892659,1768,7.86,-6.0,1,1,1,True
S1346,Kampung Dasar,Kunak,4.7108573,118.2130149,1227,4.87,5.0,0,0,0,True
S1347,KAMPUNG LORMALONG,Kunak,4.7042168,118.2035741,1179,5.38,12.0,0,0,0,True
S1361,Kampung Ulu Memanjang,Beluran,5.7182772,117.5756268,4605,20.06,36.0,1,1,1,True
S1365,Kampung Sentosa,Sandakan,5.9484425,118.0140645,888,16.57,2.0,0,0,0,True
S1366,Kampung Dandulit,Sandakan,5.9945988,117.9113975,657,28.47,10.0,0,0,0,False
S1374,Pekan Lama Kota Marudu,KotaMarudu,6.5225146,116.7520247,873,3.23,-5.0,1,1,1,True
S1375,Kampung Kokol,KotaKinabalu,6.0192661,116.1981364,1863,4.6,463.0,1,1,1,True
S1378,Tandek,KotaMarudu,6.5309639,116.8482926,2193,0.0,,1,1,1,True
S1382,Tamonong,Tuaran,6.2253902,116.2167048,2834,5.74,-8.0,0,0,0,True
S1386,Pekan Kiulu,Tuaran,6.0582824,116.282368,1220,0.0,,1,1,1,True
S1390,Kampung Trang Belud,Tuaran,6.2252622,116.2206638,2894,5.61,-9.0,0,0,0,True
S1398,Kampung Kauluan,Tuaran,6.1248417,116.2392569,1505,3.5,-2.0,0,0,0,True
S1402,Kampung Dansangai,Tuaran,6.1135339,116.2403083,1772,4.02,3.0,1,0,0,True
S1411,Kampung Tambulaung,Tuaran,6.0962064,116.2318513,1314,4.0,46.0,0,0,0,True
S1413,Kampung Bongalio,Tuaran,6.1010524,116.2487948,1463,4.46,338.0,0,0,0,True
S1421,Kampung Tampulan,KotaKinabalu,6.0579997,116.2132233,1467,4.04,364.0,0,0,0,True
S1422,Kampung Kabayau,Tuaran,6.0665881,116.2285495,619,4.43,345.0,0,0,0,True
S1423,Kampung Lakau,Tuaran,6.0810601,116.2373578,1264,4.66,493.0,0,0,0,True
S1428,Kampung Bangkud,KotaKinabalu,6.0023531,116.2380284,931,7.92,138.0,1,1,1,True
S1442,Kampung Gading Gading,Semporna,4.6296769,118.3606267,1182,13.9,7.0,1,1,0,True
S1443,Kampung Melati,Tawau,4.3745678,117.8130913,3573,16.63,-10.0,1,1,1,True
S1444,Kampung Kelapa,Tawau,4.3921384,117.7907485,1082,19.57,2.0,1,0,0,True
S1447,Merotai Besar,Tawau,4.4175388,117.7759373,7775,22.84,4.0,1,1,1,True
S0006,Karakit,Kudat,7.1101449,117.0841255,1437,0.0,,1,1,1,True
S0061,Kampung Monggis,Ranau,6.2072984,116.7677359,1369,30.61,-249.0,1,1,1,False
S0064,Kampung Rompon,Tambunan,5.5091912,116.3233754,741,18.35,-124.0,1,0,0,True
S0120,Pandawan,Nabawan,4.9116486,116.4932214,1207,16.08,-25.0,0,0,0,True
S0128,Salarom Taka,Nabawan,4.6724662,116.6034504,810,27.84,155.0,0,0,0,False
S0236,Pangi,Tenom,5.1391058,115.8645731,1004,8.77,-80.0,1,1,1,True
S0381,Kampung Pompodon,KotaMarudu,6.3629363,116.7548147,827,14.72,77.0,0,0,0,False
S0382,Kampung Talamason,KotaMarudu,6.36331,116.7450321,1061,14.78,155.0,0,0,0,False
S0408,Kampung Lok Nunuk,Tuaran,6.2974555,116.2814788,531,7.48,-6.0,1,1,1,True
S0409,Kampung Baru-Baru,Tuaran,6.3040075,116.2939116,550,6.94,-3.0,1,1,1,True
S0461,,Keningau,4.9560925,116.140719,561,23.01,201.0,0,0,0,False
S0514,Kampung Langkukuk,Nabawan,4.9163016,116.4924187,927,15.58,14.0,1,1,1,False
S0519,Kampung Tampusison,Nabawan,4.8604172,116.4956051,565,21.39,-34.0,1,1,1,False
S0520,Kampung Tataluan Pandiwan,Nabawan,4.894948,116.4895586,2265,17.58,-24.0,1,1,1,True
S0523,Kampung Sandukan,Nabawan,4.6745323,116.611379,810,28.64,137.0,0,0,0,False
S0529,Kampung Pandiwan,Nabawan,4.9371194,116.4809914,777,12.94,-22.0,1,1,1,False
S0537,Kampung Mawantul,Nabawan,4.6730583,116.5948824,810,27.21,174.0,0,0,0,False
S0538,Kampung Samuran,Nabawan,4.6867419,116.6096772,810,29.44,138.0,1,1,1,False
S0541,Kampung Bangau,Nabawan,4.6656659,116.6072803,810,27.64,141.0,0,0,0,False
S0588,Malaing Ulu,Keningau,4.9564866,116.1395051,621,22.87,204.0,0,0,0,False
S0593,Binakaan,Keningau,5.117645,116.3432834,574,6.55,21.0,0,0,0,True
S0601,Lintuhun Baru,Keningau,5.1431533,116.2102068,586,8.79,27.0,1,0,0,False
S0609,Totogop,Keningau,5.2268314,116.1801678,1513,12.06,21.0,0,0,0,False
S0619,Kompartment 50,Keningau,5.3074959,116.5496793,1613,32.78,-61.0,1,1,1,False
S0649,Mokotog,Keningau,5.2835791,116.4247876,618,21.69,39.0,1,0,0,False
S0718,Gaulan,Keningau,5.3025712,116.0534426,542,11.42,122.0,1,1,1,False
S0739,Dimpangoh,Keningau,5.1542775,116.1147343,1187,18.46,245.0,1,1,1,False
S0807,Rompon,Tambunan,5.5197756,116.3176526,859,17.4,-151.0,0,0,0,True
S0935,Pahu Sasapan,Ranau,6.13671,116.7745909,695,23.86,-257.0,1,1,1,False
S1077,Balai Budaya Totogop,Keningau,5.2283683,116.175459,1480,11.77,27.0,0,0,0,False
S1084,Kampung Tinagalan Laut,Keningau,5.100738,116.3006846,553,4.79,3.0,1,1,1,False
S1322,Bandar Fajar Harapan,LahadDatu,5.2335919,119.2067601,2366,0.0,,1,0,0,True
S1358,Kampung Menampilik,Semporna,4.3458764,118.5703486,524,15.51,-1.0,1,1,1,True
S1429,Kampung Kumansi,Tongod,5.2775781,117.0890236,514,13.36,-20.0,1,1,1,False
S1432,Kampung Silawa,Semporna,4.5526744,118.5791731,878,8.95,-7.0,0,0,0,True
S1439,Kampung Larapan Hujung,Semporna,4.5534766,118.5939145,645,8.51,-9.0,0,0,0,True
S1445,Kampung Tiger,Tawau,4.4075531,117.8187132,1210,19.68,84.0,1,0,0,True
